obs desp_alim rsem
1 52.25 258.30
2 58.32 343.10
3 81.79 425
4 119.90 267.50
5 125.80 482.90
6 100.46 487.70
7 121.51 496.50
8 100.08 519.40
9 127.75 543.30
10 104.94 548.70
11 107.48 564.60
12 98.48 588.30
13 181.21 591.30
14 122.23 607.30
15 129.57 611.20
16 92.84 631.0
17 117.92 659.60
18 82.13 664.00
19 182.28 704.20
20 139.13 704.80
21 98.14 719.80
22 123.94 720
23 126.31 722.30
24 146.47 722.30
25 115.98 734.40
26 207.23 742.50
27 119.80 747.70
28 151.33 763.30
29 169.51 810.20
30 108.03 818.50
31 168.90 825.60
32 227.11 833.30
33 84.94 834
34 98.70 918.10
35 141.06 918.10
36 215.40 929.60
37 112.89 951.70
38 166.25 1014
39 115.43 1141.30
40 269.03 1154.60
